recency,freq,monetary
316,31,640.5
315,101,2163.98
284,101,1689.18
306,390,6021.9
340,39,671.69
135,22,486.1
350,53,1174.58
258,10,185.9
348,47,1013.26
245,24,3344.64
244,31,477.91
340,73,1775.18
369,45,1346.97
351,122,3722.82
219,21,318.05
266,31,623.51
370,20,314.44
39,9,114.0
42,48,919.98
225,43,2209.85
363,38,601.98
356,126,4051.17
362,47,1643.18
355,36,686.05
344,5,91.68
362,13,245.1
373,230,3849.78
365,37,4881.88
49,3,63.0
315,33,620.13
362,161,3807.15
223,101,2744.0299999999997
363,92,2996.05
44,10,225.89999999999998
368,42,610.52
335,83,1970.6
349,45,1331.39
331,165,17628.46
315,48,1113.02
373,52,862.81
359,638,13787.54
370,525,12288.22
369,344,8476.57
366,105,2283.63
345,157,2863.08
2,7,89.14
260,171,4873.8099999999995
348,72,1247.61
168,16,389.01
345,32,1035.8
246,39,855.91
303,37,869.67
366,27,582.1
345,41,957.59
366,268,4939.99
294,53,797.71
354,12,219.0
302,21,283.55
366,88,2340.84
358,334,6868.29
82,33,603.42
344,157,2712.91
358,208,9736.52
277,77,1149.02
345,133,4396.13
373,38,848.55
364,259,4708.86
267,21,353.86
370,69,1053.49
222,55,1030.98
302,19,238.25
368,39,644.95
371,354,5781.73
342,161,2656.13
288,53,997.63
370,69,725.07
368,53,1031.41
2,24,427.8
345,124,2609.1
363,139,3980.7
302,46,836.33
260,26,453.01
350,274,18895.91
194,12,236.26000000000002
139,22,383.95
21,4,110.39999999999999
58,43,779.5699999999999
41,4,234.0
1,11,155.35
295,38,1013.04
310,27,427.6
239,134,546.43
322,222,21279.29
371,103,4196.01
373,4596,33719.73
370,199,4090.88
245,15,275.88
292,53,4366.78
351,197,21429.39
138,63,3010.74
93,4,3811.95
287,4,112.07999999999998
358,371,7857.1
257,97,2791.59
321,95,1531.44
366,69,1898.52
235,18,494.08
57,45,1693.88
370,310,6989.63
135,32,1143.6
163,12,1351.45
314,55,892.47
356,66,1386.04
354,50,822.23
336,149,3981.36
310,25,826.74
369,103,2330.92
371,84,2225.91
364,59,574.42
9,14,311.95
364,20,463.66
308,4,91.85
181,21,324.92
0,2,192.60000000000002
117,25,400.53999999999996
39,24,545.48
320,45,860.41
355,14,430.48
8,13,254.03
363,8,6977.04
187,25,427.58
337,28,483.65000000000003
196,25,489.31
113,31,514.85
329,15,229.64000000000001
272,2,125.92
226,47,1063.46
278,29,572.2
92,4,166.04
112,14,1542.08
370,59,942.34
159,6,92.72
303,46,948.88
299,5,1759.5
314,25,397.12
371,91,1474.72
368,25,430.15000000000003
371,56,1018.71
37,11,293.0
336,38,6814.64
111,9,215.05
341,27,383.03
228,24,417.38
91,18,312.38
314,175,2612.86
200,12,134.1
340,123,683.13
371,314,5591.42
230,113,2726.77
369,420,4022.35
303,34,1118.99
308,103,1702.26
344,52,325.96000000000004
106,27,354.09
351,91,871.54
342,51,1050.8899999999999
277,50,135.18
79,17,311.55
239,78,1957.1000000000001
295,110,1324.5
1,3,38.1
366,314,2179.93
163,46,1106.4
321,5,521.2
235,3,147.12
347,95,1568.23
90,26,559.12
347,538,4036.82
188,107,1607.0600000000002
289,11,380.64
47,66,599.97
91,4,374.0
230,2,343.2300000000001
316,85,2218.02
370,154,1535.77
137,47,854.99
329,10,573.22
98,7,298.0
364,13,1463.04
349,42,703.47
285,7,309.05
310,71,1175.22
306,82,1378.4
159,5,354.12
349,82,380.46999999999997
188,3,331.0
343,34,188.14
331,22,372.8
169,4,216.5
365,116,17654.54
109,10,138.68
355,72,509.58
362,63,2919.81
197,2,750.0
334,91,2178.67
350,75,3075.04
371,24,1662.3
369,50,2483.63
225,22,363.65
235,107,3006.15
245,2,594.0
365,50,1335.19
356,28,164.23
364,720,16587.09
212,28,405.38
309,29,176.97
285,30,933.7
369,45,694.05
338,84,2062.7000000000003
62,8,117.85
295,25,415.8
352,82,42055.96
349,106,607.53
371,129,2160.7
356,62,1063.9
358,120,1504.27
348,9,114.14
309,47,11581.8
319,99,913.54
242,75,683.9
338,30,604.51
85,23,462.95
230,97,1603.99
357,116,2064.95
343,215,4167.22
371,23,1843.0
365,63,1064.07
368,79,1387.79
364,17,329.85
372,180,4757.16
67,19,108.07
364,238,4017.54
366,16,266.39
365,95,1856.63
284,109,771.91
364,10,160.18
15,19,1660.9
261,5,135.95
366,151,452.24
370,305,11189.91
176,8,144.8
162,22,738.6
217,9,39.239999999999995
216,20,7374.900000000001
344,20,372.21999999999997
131,28,390.54
355,4,97.5
373,76,1239.38
300,28,558.7
81,92,535.32
370,64,6924.110000000001
342,13,409.5
350,31,503.76
350,27,414.76
369,61,974.4200000000001
288,3,211.32
351,59,1226.89
177,28,455.88
267,31,534.85
369,339,9818.82
55,7,120.94999999999999
268,6,149.05
362,404,5655.91
200,26,513.7
317,4,81.57
50,14,229.46999999999997
1,3,50.550000000000004
364,89,1661.8400000000001
372,219,4810.9400000000005
363,110,3466.2799999999997
320,176,3346.28
300,47,789.89
366,1,204.0
357,458,7277.7
369,131,2616.38
309,40,689.9
372,40,975.36
260,26,6912.0
351,45,661.3199999999999
343,10,1247.5
362,99,799.48
321,71,1010.18
16,11,190.55
319,37,642.77
300,27,921.88
235,48,881.07
293,28,908.46
365,43,676.99
100,13,516.42
82,33,560.47
274,18,305.28000000000003
343,35,629.31
342,172,3237.54
359,136,1835.91
309,14,656.6800000000001
359,403,5836.86
161,18,348.15000000000003
295,76,1214.41
349,8,271.40000000000003
124,8,183.4
120,15,307.53
301,10,248.61
182,11,346.98
361,69,1119.49
0,14,205.86
349,48,470.8
291,15,115.46000000000001
363,2,344.0
373,425,4436.12
181,9,228.8
107,7,177.15
244,22,919.61
372,112,729.27
370,358,12627.94
369,6,220.10000000000002
194,6,58.08
362,1028,28337.38
247,73,3613.63
369,18,303.75
216,22,416.08000000000004
371,1818,58825.83
365,155,8910.82
345,21,345.82
303,25,477.83
98,159,7832.47
352,24,1927.3200000000002
303,6,74.39999999999999
341,423,6010.42
372,572,28882.44
274,1,207.35999999999999
139,8,101.19
372,304,6424.09
334,8,243.94
370,20,1098.48
240,1,76.5
329,58,1531.6200000000001
1,10,350.06
314,47,786.54
342,145,1488.67
373,201,12245.960000000001
362,120,2294.78
235,30,501.14
352,76,984.91
354,79,1197.81
135,1,30.599999999999998
104,50,283.73
279,55,922.39
284,235,3866.33
369,140,2099.64
296,15,259.17
279,2,64.0
350,44,1073.3
112,3,77.3
100,7,109.8
288,98,1793.58
177,1,3096.0
317,127,2607.61
363,704,3650.41
351,63,962.39
357,170,5064.94
265,46,423.72
289,135,2388.75
354,23,307.09
41,3,110.95
334,6,618.52
347,17,228.91
363,4,712.8000000000001
344,319,3707.12
359,86,1676.06
78,74,1257.8700000000001
368,15,486.22
340,85,971.76
324,87,1741.22
279,79,1201.06
365,121,1437.85
351,4,91.8
60,8,112.75
251,79,1688.29
327,42,1021.48
90,41,417.2
355,65,791.33
337,131,1319.19
310,13,712.88
347,32,116.00999999999999
352,46,468.41
369,43,353.65
357,314,2817.03
327,72,492.84
309,17,282.45
347,265,5725.47
328,11,121.18
366,94,3957.78
359,181,1701.29
106,1,71.4
334,79,1575.89
36,37,236.02
362,2,114.60000000000001
355,29,260.68
278,63,911.94
312,29,117.88
238,3,60.7
362,110,1797.78
363,226,3401.2400000000002
370,119,9817.12
354,46,870.09
364,57,869.46
358,8,250.26000000000002
315,149,1223.9
343,321,5891.61
280,22,353.48
363,56,1197.42
354,142,788.08
317,90,1520.58
106,5,333.74
251,4,533.98
246,5,62.63999999999999
295,21,819.2900000000001
133,66,847.41
173,5,163.20000000000002
313,108,2155.95
370,32,6463.84
100,16,108.21000000000001
172,9,257.7
292,2,358.0
148,10,160.95
369,611,2806.97
361,207,1357.6
299,43,605.12
161,58,1031.07
349,36,744.85
356,31,700.73
112,22,329.56
277,67,663.65
261,13,270.40000000000003
170,58,600.07
281,27,121.74000000000001
323,16,430.5
355,141,1987.3
356,25,501.12
249,26,465.68
281,23,711.41
217,36,1030.4
364,13,399.51
359,1,0.0
362,38,698.58
312,87,292.32
312,8,557.62
105,9,944.1
110,11,200.29
372,1677,7454.07
320,91,2107.66
362,187,3834.2599999999998
371,211,4521.49
356,440,3214.69
372,316,5346.2300000000005
7,1,590.0
336,96,217.38
342,15,276.56
260,16,138.98
310,30,590.9300000000001
358,8,258.4
333,46,542.73
295,9,137.75
251,85,814.86
355,37,1132.14
314,7,93.66
43,13,201.19
350,187,2709.12
218,42,361.11
335,31,578.9399999999999
184,54,873.74
14,10,201.20000000000002
236,5,87.4
366,59,2089.85
372,2,360.0
105,5,142.5
204,20,371.89
270,81,618.09
218,1,63.75
22,21,300.42
369,81,2000.86
253,1,15.0
351,54,1385.51
366,107,1456.79
345,72,1132.03
369,26,598.57
351,78,1555.32
372,62,775.94
336,87,5977.7300000000005
307,124,2273.68
372,20,640.76
368,476,10845.550000000001
295,106,1548.7
301,11,567.36
356,25,199.48000000000002
370,21,787.85
337,75,7121.95
292,12,675.3
335,108,3627.77
57,17,1308.48
342,17,789.0
281,53,1140.93
359,21,350.9
291,268,3536.82
296,51,795.12
216,19,487.02
173,54,860.12
328,134,10736.48
113,42,775.85
196,19,353.43
306,119,2543.72
86,20,389.5
303,8,341.36
309,14,233.76
363,16,247.32
357,40,979.12
307,16,373.94
313,24,397.97999999999996
302,51,743.53
251,32,674.7
293,42,768.24
116,90,609.95
105,29,439.03
310,23,439.56
364,166,3090.7400000000002
356,60,992.5
302,10,134.95999999999998
340,128,2225.37
323,1,56.160000000000004
117,29,623.4
8,14,308.28000000000003
2,39,754.87
284,23,378.64
313,158,3312.25
285,37,778.65
274,53,1019.76
347,97,572.56
342,172,3639.31
93,15,222.99
343,152,4151.93
44,35,534.57
242,35,677.1
362,51,797.96
299,13,544.08
170,1,59.8
372,155,2520.02
188,21,307.72
344,43,1360.99
301,38,1544.13
181,26,457.34
246,39,621.23
356,3,75.0
372,11,252.49
299,27,572.451
372,478,28117.04
349,28,1003.06
266,18,213.55
240,24,1390.5
330,19,712.5
369,28,640.83
362,304,6127.43
310,16,221.06
224,8,159.85
333,104,1851.08
309,127,2626.3
265,78,1624.21
373,157,3641.32
354,29,582.6
363,74,218.47
363,67,1006.8
355,49,679.45
306,46,1269.1
299,10,534.24
368,101,3809.8900000000003
372,12,196.89
359,167,3408.06
118,54,283.71
282,13,296.64
350,59,1129.14
357,195,3539.37
350,19,291.88
347,71,2043.7199999999998
347,443,2976.15
114,2,590.0
208,17,356.97999999999996
349,46,1058.34
356,63,1766.72
366,382,9646.57
344,17,183.44
335,27,1445.0
121,9,151.5
315,41,674.68
189,17,307.9
363,99,1083.71
372,302,5704.97
274,10,165.0
372,260,2531.58
313,21,422.64
137,64,229.59
182,86,1431.78
195,58,1238.47
336,79,1454.58
173,15,300.95
328,109,1804.56
141,11,184.64
308,10,140.34
132,8,313.8
140,23,454.24
295,69,1122.41
316,34,575.4
356,422,8968.31
268,14,449.52
322,86,1215.82
237,50,1269.84
98,8,618.63
62,18,316.26000000000005
366,48,2044.8700000000001
363,35,653.33
91,19,348.05
356,42,1159.11
350,65,1166.77
85,52,1340.32
357,18,292.0
302,17,216.85
309,22,295.93
301,215,4393.63
57,26,458.52
370,162,2479.16
130,12,110.97
365,44,979.72
372,115,1791.56
113,15,251.21
247,10,205.1
300,4,152.20000000000002
301,59,891.12
352,44,1389.41
314,141,2128.42
288,38,659.4399999999999
295,8,122.75
315,93,3624.35
372,436,1093.65
343,5,125.80000000000001
340,172,3964.88
333,27,680.1800000000001
359,6,628.78
340,223,2287.51
295,15,307.76
168,22,483.8
340,66,210.31
191,76,270.79
371,296,5870.08
372,179,3448.29
330,25,1280.85
288,37,631.34
334,87,291.41
361,98,626.99
277,124,682.41
348,51,918.2
54,4,91.80000000000001
307,109,3740.07
300,136,4149.28
345,34,584.06
368,175,605.06
366,33,174.37
158,14,141.85999999999999
292,82,1799.33
289,49,777.53
229,83,1749.02
354,38,240.22
333,176,874.71
200,44,192.85
356,85,373.75
130,27,239.49
361,341,2092.32
168,33,1384.25
323,26,294.4
350,46,732.0699999999999
363,126,6717.34
348,83,1687.6000000000001
359,23,467.04
64,10,118.0
218,53,781.03
67,24,142.4
310,8,712.4
358,174,2478.95
359,21,379.65
362,87,1981.92
309,58,1117.13
338,16,247.95999999999998
265,128,2037.0800000000002
321,26,396.97
368,166,697.04
326,40,180.17000000000002
372,247,5153.67
61,19,219.52
328,99,693.32
309,23,428.89
347,27,164.34
344,43,280.53999999999996
333,98,678.01
361,226,1131.88
284,74,1171.8
349,201,1610.46
55,23,417.69
333,44,544.18
200,13,177.34
257,19,213.85
343,81,747.78
121,19,257.23
314,92,1638.47
350,59,7792.36
368,71,2031.78
274,11,3070.42
349,146,2121.27
340,188,1575.16
306,62,1071.03
337,63,949.12
321,101,810.5
358,8,122.64
299,40,1033.34
158,66,354.8
342,28,519.44
357,146,2624.26
253,5,252.1
364,79,1678.1200000000001
117,23,346.6
357,96,1836.34
338,6,94.2
328,63,1095.08
330,166,2707.33
259,56,932.97
209,49,379.65
363,16,382.14
364,108,2639.17
168,104,1573.2
288,53,897.76
194,13,189.47
313,12,84.65
224,87,305.02
371,470,6363.59
323,9,218.55
298,25,349.7
72,6,186.39000000000001
355,65,396.92
222,25,486.82000000000005
222,16,232.6
372,195,3722.42
356,57,827.83
186,3,59.5
88,30,67.23
371,39,3119.44
191,8,72.0
310,6,910.0
314,9,172.25
349,53,1488.32
370,568,65039.62
342,90,2504.13
335,12,151.29999999999998
218,14,308.58000000000004
347,197,2265.12
55,1,99.5
368,134,2308.06
366,28,711.86
71,20,330.79
106,48,806.41
102,51,296.88
370,336,6328.05
342,8,180.48
155,13,252.06
127,10,228.84
92,105,1079.34
104,21,138.28
341,102,1445.01
127,12,306.55
358,60,1041.68
257,43,799.9
337,28,524.14
242,85,2375.41
156,6,199.85000000000002
324,104,1980.56
335,42,1079.6599999999999
345,20,333.48
337,63,1016.14
238,43,752.6
154,38,610.59
345,33,491.86
349,196,2885.2400000000002
368,191,731.9
173,30,339.59999999999997
355,3,216.9
133,23,350.75
302,34,668.4300000000001
357,321,3131.02
371,41,1341.6
278,72,1156.36
211,25,300.04
0,1,79.6
278,28,948.25
320,24,1647.26
85,9,296.25
249,76,1186.28
86,35,741.26
222,12,282.59999999999997
370,342,2161.35
371,142,5189.52
362,117,3190.55
340,25,659.4100000000001
319,57,286.79
323,70,1070.65
155,7,306.72
310,15,1714.96
303,208,1521.76
371,368,17220.36
371,135,2796.51
309,119,2634.45
340,177,1132.13
292,22,345.0
373,197,25977.16
270,9,178.7
366,57,360.01
123,17,127.84
361,115,912.0
364,31,2462.79
6,7,230.39999999999998
298,31,309.04
369,45,348.8
246,11,1516.0
307,13,195.55
372,349,37153.85
257,39,688.86
64,33,558.32
307,23,324.8
235,60,4599.42
118,17,277.07
343,137,2635.79
321,13,924.6
310,10,256.38
6,7,112.6
368,76,1747.66
68,12,155.05
345,35,1499.01
190,13,814.5
331,36,539.0
334,69,1366.8600000000001
281,57,1579.12
351,176,4027.36
350,28,571.6700000000001
344,24,382.98
72,36,1140.35
229,59,385.64
368,96,632.0
355,40,957.66
341,46,1698.94
197,10,189.5
316,93,412.05
351,15,209.49
357,74,2202.99
354,3,52.199999999999996
214,29,384.8
348,55,834.57
162,19,271.24
368,174,691.73
121,1,85.0
315,206,3385.62
362,20,361.62
309,9,312.98
349,55,865.0600000000001
281,5,1255.0
322,101,1537.95
244,93,1595.48
278,81,2651.46
316,23,1090.14
365,110,8109.5199999999995
205,14,388.5
316,11,216.17
47,28,201.16
372,76,1245.9
355,139,2209.36
126,20,305.78
315,30,501.56
299,7,145.67000000000002
342,61,1015.29
366,33,3192.54
250,307,3104.95
371,115,2770.94
351,336,6403.25
254,23,389.6
15,18,540.45
320,104,1786.79
310,7,122.7
287,3,117.24
319,36,1281.53
352,165,3219.77
370,178,17159.52
371,65,1191.13
363,142,2674.48
366,59,787.6
184,28,506.8
302,16,243.56
169,19,349.55
254,40,605.63
281,15,416.90000000000003
372,110,1883.8100000000002
347,27,632.97
76,21,821.1
350,27,564.62
345,118,2593.07
323,17,311.16
48,12,155.93
357,19,388.52
190,43,740.95
301,149,2867.2
336,26,332.64
294,122,2369.55
316,148,2580.91
362,33,626.45
324,18,272.04
324,30,1212.8400000000001
314,28,384.81
22,7,172.25
320,20,351.13
372,117,1838.8500000000001
281,41,678.25
350,11,223.85000000000002
299,21,348.99
363,27,464.57
204,9,842.65
316,17,337.34
278,58,1237.53
79,16,307.4
264,23,608.7900000000001
110,31,922.1
194,26,376.58
204,9,158.85
338,7,71.66
350,45,568.55
356,49,839.14
352,45,5112.96
294,11,561.5699999999999
308,5,90.6
13,3,102.0
371,160,2427.32
362,35,745.06
197,39,674.45
156,137,3251.071
366,20,3515.68
372,25,439.92
219,33,322.96
368,152,1026.42
294,92,598.2
352,12,230.22
352,11,169.55
65,35,664.54
228,2,80.7
366,626,9053.94
355,149,2758.26
303,15,190.25
86,11,264.7
324,28,413.59000000000003
342,338,2526.28
167,10,357.98
359,15,196.79000000000002
300,54,869.87
313,11,200.14
334,111,1871.81
344,107,2603.43
347,16,920.51
369,351,7060.13
356,13,320.46
354,234,4147.96
308,41,1266.08
160,16,311.3
361,84,855.97
343,5,76.8
331,121,3466.36
370,155,2313.14
358,86,1393.69
363,208,3901.81
162,15,635.66
328,39,2043.0800000000002
239,47,529.73
330,171,4582.64
364,84,2874.72
258,30,962.19
175,42,695.61
96,11,328.8
263,34,473.02
296,39,505.18
321,20,917.34
212,161,4341.21
327,66,1421.61
357,39,642.8
218,22,631.9
148,28,440.0
366,31,584.07
252,16,327.7
313,6,104.82
310,15,467.66
355,243,2360.09
366,250,17286.86
371,143,2975.59
351,89,651.8199999999999
345,66,1428.02
89,38,626.65
197,28,147.20000000000002
295,92,1560.38
340,6,152.2
333,235,3614.92
107,21,141.41
347,209,652.82
264,6,1659.75
89,14,154.99
365,32,1308.6100000000001
68,85,409.93
357,488,5681.72
342,54,746.36
373,210,15610.390000000001
354,56,225.36
249,4,260.25
308,6,92.46
267,10,725.6400000000001
372,1106,8214.65
350,284,6217.96
107,8,183.6
369,202,6140.42
364,111,10464.85
344,80,1353.74
107,7,152.55
310,52,374.7
53,24,265.85
370,324,1438.82
341,13,151.04
369,43,942.26
244,46,122.47
333,42,499.41999999999996
272,65,1049.37
249,12,375.1
341,4,45.599999999999994
71,153,934.52
9,29,182.25
369,181,1018.43
371,450,4448.54
371,69,194.42
363,589,50491.81
317,14,161.0
49,1,76.32000000000001
366,214,4076.91
361,105,442.85
369,5111,65164.79
337,21,147.35
357,250,3104.17
236,26,194.9
300,35,5976.79
368,79,1360.28
219,21,216.20999999999998
134,74,1266.23
322,123,2703.23
343,34,597.91
301,9,144.2
370,156,5683.15
359,10,692.85
351,160,2915.15
370,34,1840.42
100,15,386.53
354,72,1382.74
230,3,90.0
370,159,2780.15
289,5,419.58000000000004
363,167,2740.43
366,15,706.1300000000001
251,44,709.71
313,46,637.5
372,52,1123.8600000000001
54,67,483.86
371,200,3586.0299999999997
244,28,605.64
372,134,4690.31
372,47,982.3800000000001
327,26,415.82
370,66,935.05
371,40,915.13
0,22,311.81
240,7,115.8
327,11,3742.2
365,210,4191.0
295,5,483.4
140,3,157.2
153,28,446.62
338,26,658.64
298,49,621.29
134,52,1345.62
107,6,118.75
364,1400,117379.63
354,48,432.88
333,41,507.66
354,1204,4693.01
158,108,1110.52
200,25,289.36
286,52,2445.91
303,29,1631.77
98,25,122.53999999999999
334,52,574.84
275,58,363.79
363,29,450.84
340,26,134.46
314,149,3222.3
76,31,576.9000000000001
287,42,559.41
365,327,1620.93
333,165,719.78
363,240,4748.52
307,24,452.89
42,3,197.65
343,65,2054.36
371,265,4654.08
372,259,4684.76
306,42,853.39
369,579,11349.52
172,7,1012.0
267,6,335.52
355,39,701.4
155,2,185.39999999999998
313,37,747.44
371,44,161.03
357,24,466.7
134,20,328.15999999999997
279,10,151.74
363,87,2073.43
268,102,1905.8400000000001
320,112,2241.1
284,9,1070.48
343,67,1004.38
362,108,1789.72
370,59,1839.3
372,100,2004.98
331,12,169.48000000000002
369,7,89.94
126,21,632.4
331,193,3432.8
196,41,683.17
281,60,991.13
263,118,1050.12
345,67,2232.19
347,175,3350.96
322,40,1547.2
190,50,925.71
331,115,2048.07
324,35,1462.72
351,159,775.46
298,79,3144.86
293,15,490.86
0,9,161.0
47,8,146.85
330,112,2380.85
343,42,890.34
190,10,213.70000000000002
139,16,280.55
365,141,2588.77
154,108,1693.45
263,75,1474.06
95,20,136.76999999999998
55,8,302.58
366,111,1904.05
372,78,2879.7000000000003
113,53,969.0600000000001
309,106,3099.7200000000003
364,111,12669.98
232,5,120.0
323,52,1163.45
365,143,2618.23
219,17,333.97
264,31,530.18
211,55,1516.24
42,29,492.65000000000003
148,10,112.32
300,33,437.96
322,29,559.97
275,64,1119.74
358,225,4216.2
177,8,134.04
370,156,3729.34
343,32,595.25
352,27,1910.01
350,280,4628.75
365,9,176.63
160,16,426.6
365,47,911.26
362,101,2314.65
372,237,3883.25
366,100,4871.93
370,61,1046.56
333,5,166.20000000000002
356,62,1305.33
365,1637,51527.3
365,143,3965.62
355,3,43.2
256,13,640.14
151,17,383.45
302,105,1858.96
322,33,2093.32
285,180,2995.72
365,117,2352.53
131,20,310.26
327,87,1611.59
267,8,120.0
329,101,2481.13
309,24,508.58000000000004
167,31,477.79
363,123,1530.75
259,36,605.0600000000001
131,8,183.85
210,12,311.65
356,259,5014.84
249,28,462.65999999999997
351,26,866.31
306,15,415.2
357,162,2552.21
357,63,468.26
357,90,1614.91
212,31,588.22
131,14,309.52
155,6,134.7
328,129,2182.28
352,21,668.5600000000001
246,71,889.9300000000001
335,6,108.97999999999999
253,60,1021.58
113,18,409.57
363,31,133.5
99,18,282.93
209,1,51.0
216,47,1078.96
158,6,90.6
368,9,163.62
8,11,174.4
294,33,701.23
330,41,225.77
354,55,912.18
342,118,2128.23
351,41,161.2
265,69,3717.35
365,524,9261.52
54,8,155.0
78,4,100.5
15,4,76.55
188,75,257.68
182,11,617.05
329,46,348.1
321,56,202.68
347,131,626.0699999999999
335,59,1247.69
364,14,202.11
77,7,142.4
341,140,1770.56
363,186,3212.84
308,45,1043.46
363,286,4652.82
155,5,67.95
371,350,3507.71
308,73,487.99
371,87,2612.96
224,25,574.7
369,182,4051.48
243,20,1475.81
340,103,1474.32
254,8,156.75
266,73,2157.73
363,107,2606.53
302,54,2059.4500000000003
281,194,1105.07
63,14,1063.0
331,43,770.03
11,23,122.7
282,97,1496.98
372,590,5900.28
351,14,490.22
370,124,1937.25
363,206,1058.06
274,29,387.52
316,27,813.11
373,222,4263.64
155,3,265.2
356,1,322.08
350,224,4481.67
323,17,363.34000000000003
366,144,1244.83
71,17,470.36
364,382,2255.51
352,12,1372.8
275,9,89.06
8,5,63.0
67,9,131.9
54,32,2661.24
365,55,2357.6800000000003
373,51,1712.89
169,63,1589.82
320,93,1420.2
373,293,1039.58
355,70,1163.23
364,20,375.35
355,258,907.1
193,40,483.25
313,109,662.59
363,62,264.44
183,22,119.93
368,970,3062.4
63,4,113.64
218,37,1837.92
263,16,434.34
225,180,2103.06
307,240,2004.02
275,6,529.62
127,130,1058.6200000000001
344,72,2272.4
356,90,598.76
362,43,461.19
270,281,1936.84
299,7,234.34000000000003
327,29,547.66
302,42,925.85
116,19,215.7
354,10,1309.6
120,18,316.25
362,13,279.05
209,30,636.51
355,144,2068.15
92,9,137.1
323,14,321.92
